"LIST-ID","occups"
"445469","curator"
"445521","medicus"
"445530","frumentarius"
"445542","poeta"
"445609","curator"
"445609","faber"
"445616","curator"
"445630","curator"
"445706","curator"
"445709","curator"
"445710","faber"
"445711","curator"
"445711","faber"
"445713","curator"
"445846","curator"
"445905","faber"
"445915","faber"
"445919","faber"
"445921","curator"
"445921","faber"
"445922","curator"
"445922","faber"
"445923","curator"
"445923","faber"
"445924","faber"
"445925","curator"
"445930","curator"
"445937","curator"
"445948","curator"
"445976","curator"
"445980","curator"
"445980","faber"
"445981","curator"
"445982","curator"
"445984","curator"
"446181","curator"
"446252","oleareus"
"446258","curator"
"446403","gladiator"
"446435","ocularius"
"446435","medicus"
"446443","medicus"
"446526","mercator"
"446527","sector"
"446578","faber"
"446596","curator"
"446599","curator"
"446675","caligarius"
"446675","lapidarius"
"446676","vestiarius"
"446685","sagarius"
"446687","colorator"
"446688","faber"
"446690","faber anularius"
"446691","negotiator ferrarius"
"446698","dendrophorus"
"446698","faber"
"446718","figulus"
"446719","curator"
"446729","dolator"
"446730","scriba"
"446751","curator"
"446751","curator"
"446761","medicus"
"446765","faber"
"446785","aurifex"
"446785","aurifex"
"446800","curator"
"446800","faber"
"446815","scriba"
"446815","scriba"
"446815","faber"
"446815","faber"
"446825","pectinarius"
"446825","carminator"
"446825","vestiarius"
"446855","faber"
"446861","nummularius"
"446865","vexillarius"
"446865","faber"
"447042","structor"
"447086","caementarius"
"447088","curator"
"447095","curator"
"447108","possessor"
"447108","possessor"
"447108","curator"
"447134","scriba"
"447134","scriba"
"447134","scriba"
"447143","sagittarius"
"447161","curator"
"447173","curator"
"447187","curator"
"447222","ornatrix"
"447228","marmorarius"
"447228","ornator"
"447233","structor"
"447279","curator"
"447283","ornator"
"447399","forensis"
"447399","curator"
"447466","curator"
"447467","curator"
"447468","curator"
"447470","curator"
"447470","curator"
"447475","curator"
"447485","curator"
"447491","curator"
"447519","curator"
"447526","curator"
"447531","pantomimus"
"447575","architectus"
"447609","ornator"
"447793","acceptor"
"447794","mensor"
"447795","mensor"
"447795","mensor"
"447803","mensor"
"447862","curator"
"447871","curator"
"447875","faber"
"447881","soliarius"
"447916","medicus"
"447968","aerarius"
"447969","scriba"
"447997","curator"
"448005","curator"
"448018","exceptor"
"448021","scaenicus"
"448027","scaenicus"
"448054","curator"
"448061","agricola"
"448061","pomarius"
"448066","scaenicus"
"448066","curator"
"448090","conditor"
"448094","curator"
"448098","fullo"
"448129","figulus"
"448155","curator"
"448179","arcarius"
"448274","mesor"
"448308","furnarius"
"448308","furnaria"
"448310","mulionus"
"448326","venator"
"448342","gladiator"
"448352","gladiator"
"448353","medicus"
"448463","scaenicus"
"448507","mesor"
"448511","structor"
"448511","curator"
"448535","curator"
"448636","curator"
"448637","curator"
"448643","curator"
"448644","faber"
"448645","curator"
"448650","scaenicus"
"448655","curator"
"448655","curator"
"448660","curator"
"448660","curator"
"448661","intestinus"
"448661","curator"
"448665","conditor"
"448679","curator"
"448691","curator"
"448711","curator"
"448720","curator"
"448726","curator"
"448745","curator"
"448769","aerarius"
"448769","curator"
"448770","curator"
"448770","curator"
"448770","curator"
"448793","extructor"
"448794","conditor"
"448814","curator"
"448816","curator"
"448817","aerarius"
"448817","curator"
"448821","curator"
"448843","curator"
"448849","structor"
"448862","signator"
"448862","scriba"
"448862","scriba"
"448933","curator"
"448937","curator"
"448966","curator"
"448967","aerarius"
"448967","aerarius"
"448983","curator"
"448986","curator"
"448991","albarius"
"449004","margaritarius"
"449033","aerarius"
"449033","salarius"
"449033","curator"
"449034","curator"
"449036","curator"
"449041","curator"
"449046","curator"
"449052","curator"
"449124","cornicen"
"449156","curator"
"449208","lanifica"
"449244","curator"
"449249","gladiator"
"449305","possessor"
"449338","curator"
"449344","aerarius"
"449364","sartor"
"449385","curator"
"449389","curator"
"449399","curator"
"449408","argentarius"
"449410","scaenicus"
"449415","tonsor"
"449435","faber"
"449441","curator"
"449441","curator"
"449444","curator"
"449457","faber"
"449466","redemptor"
"449472","curator"
"449481","curator"
"449495","curator"
"449502","agricola"
"449513","curator"
"449547","conditor"
"449551","curator"
"449569","athleta"
"449735","curator"
"449781","aerarius"
"449789","possessor"
"449818","curator"
"449819","artifex"
"449819","curator"
"449821","curator"
"449833","lecticarius"
"449838","scriba"
"449838","faber"
"449864","curator"
"449876","curator"
"449912","aerarius"
"449912","faber"
"449927","curator"
"449927","curator"
"449939","sagittarius"
"449939","curator"
"449940","curator"
"449941","curator"
"449992","curator"
"450002","aedifex"
"450018","conditor"
"450028","curator"
"450029","scaenicus"
"450032","curator"
"450033","curator"
"450038","aerarius"
"450044","aerarius"
"450048","pomarius"
"450048","pomarius"
"450048","coactor"
"450051","curator"
"450061","mensor"
"450064","curator"
"450101","curator"
"450156","frumentarius"
"450156","tector"
"450188","asinarius"
"450188","asinarius"
"450198","curator"
"450222","exceptor"
"450297","curator"
"450309","curator"
"450311","curator"
"450316","sagittarius"
"450324","gladiator"
"450448","curator"
"450453","curator"
"450499","curator"
"450565","curator"
"450575","curator"
"450583","conditor"
"450594","structor"
"450605","albarius"
"450614","pictor"
"450627","curator"
"450627","curator"
"450657","curator"
"450666","curator"
"450678","possessor"
"450681","curator"
"450692","scaenicus"
"450695","scaenicus"
"450708","curator"
"450719","possessor"
"450755","navicularius"
"450793","signator"
"450966","signator"
"450967","medicus"
"450974","curator"
"450976","scaenicus"
"450979","curator"
"450988","curator"
"451046","curator"
"451122","curator"
"451128","curator"
"451138","structor"
"451143","curator"
"451143","curator"
"451192","scaenicus"
"451200","professor"
"451200","scaenicus"
"451200","curator"
"451201","curator"
"451202","curator"
"451206","curator"
"451208","curator"
"451210","curator"
"451211","curator"
"451212","curator"
"451221","arcarius"
"451221","arcarius"
"451605","centonarius"
"451607","sutor"
"451732","curator"
"451824","faber tignuarius"
"451862","tabernarius"
"451925","vexillarius"
"451933","centonarius"
"451933","utriclarius"
"451933","utriclarius"
"451933","faber"
"452066","curator"
"452066","curator"
"452075","vexillarius"
"452176","frumentarius"
"452383","curator"
"452390","scriba"
"452393","tibicinus"
"452400","curator"
"452400","poeta"
"452401","poeta"
"452406","retiarius"
"452406","retiarius"
"452408","medicus"
"452435","possessor"
"452439","curator"
"452446","faber"
"452456","faber"
"452468","arcarius"
"452515","sagarius"
"452518","armamentarius"
"452521","curator"
"452531","nauta"
"452591","lanionus"
"452601","arcarius"
"452604","aquarius"
"452651","possessor"
"452651","possessor"
"452666","curator"
"452709","pellio"
"452753","curator"
"452774","gladiator"
"452774","gladiator"
"452859","faber"
"452868","curator"
"452896","curator"
"452898","faber tignarius"
"452917","curator"
"452927","curator"
"453015","faber"
"453024","sarcinator"
"453033","aerarius"
"453033","aerarius"
"453072","faber"
"453080","cunarius"
"453108","faber"
"453170","lintiarius"
"453173","sculptor"
"453196","copo"
"453287","curator"
"453354","faber"
"453390","marmorarius"
"453403","marmorarius"
"453408","officinator"
"453449","negotiator"
"453506","faber"
"453506","faber"
"453508","curator"
"453529","marmorarius"
"453531","structor"
"453651","frumentarius"
"453755","scutarius"
"453773","frumentarius"
"453773","scriba"
"453792","medicus"
"453850","curator"
"453851","aerarius"
"453873","naupegus"
"453879","curator"
"453879","curator"
"453879","curator"
"453879","curator"
"453879","curator"
"453879","curator"
"453880","acceptor"
"453889","faber"
"453894","scriba"
"453897","curator"
"453900","faber"
"454002","faber"
"454007","faber"
"454008","conditor"
"454029","gladiator"
"454029","curator"
"454030","frumentarius"
"454057","faber"
"454162","ocularius"
"454162","medicus"
"454256","offector"
"454272","marmorarienses"
"454476","candidator"
"454515","faber"
"454563","argentarius"
"454635","faber subaedianus"
"454635","faber subaedianus"
"454728","venator"
"454803","aerarius"
"454840","faber"
"454948","curator"
"454962","faber"
"454964","faber"
"454983","marmorarius"
"455006","sagarius"
"455014","subidianus"
"455014","faber"
"455015","brattiarius"
"455016","aerarius"
"455016","medicus"
"455017","purpurarius"
"455017","purpurarius"
"455019","institor"
"455020","medicus"
"455021","sarcinatrix"
"455023","aerarius"
"455024","argentarius"
"455024","coactor"
"455025","vestiarius"
"455027","dissignator"
"455029","anaglyptarius"
"455029","caelator"
"455030","marmorarius"
"455030","artifex"
"455032","medicus"
"455042","retiarius"
"455313","venator"
"455424","canalicularius"
"455424","frumentarius"
"455493","frumentarius"
"455506","diffusor"
"455506","olearius"
"455508","medicus"
"455636","curator"
"455687","aerarius"
"455687","aerarius"
"455687","curator"
"455701","curator"
"455840","curator"
"455867","operarius"
"455939","scaenicus"
"455939","scaenicus"
"456051","scaenicus"
"456112","scaenicus"
"456123","curator"
"456136","scaenicus"
"456233","scaenicus"
"456266","curator"
"456267","curator"
"456284","factor"
"456400","scaenicus"
"456415","mensor"
"456432","tegularius"
"456432","gladiator"
"456432","redemptor"
"456432","redemptor"
"456432","redemptor"
"456432","redemptor"
"456432","redemptor"
"456432","scaenicus"
"456432","scaenicus"
"456432","scaenicus"
"456432","scaenicus"
"456432","scaenicus"
"456432","curator"
"456432","scriba"
"456432","scriba"
"456432","scriba"
"456432","scriba"
"456432","scriba"
"456432","scriba"
"456432","scriba"
"456432","faber"
"456437","curator"
"456441","faber"
"456598","curator"
"456601","faber"
"456603","infector"
"456626","faber"
"456661","curator"
"456724","serrarius"
"456730","gladiator"
"456730","gladiator"
"456730","gladiator"
"456730","gladiator"
"456730","gladiator"
"456730","gladiator"
"456730","gladiator"
"456730","gladiator"
"456730","gladiator"
"456730","curator"
"456730","curator"
"456744","curator"
"456781","negotians"
"456783","centonarius"
"456796","diffusor"
"456796","olearius"
"456796","olearius"
"456796","curator"
"456798","olearius"
"456842","promus"
"456860","sagittarius"
"456860","sagittarius"
"456871","conditor"
"456876","diffusor"
"456876","olearius"
"456884","lanificus"
"456964","aerarius"
"456964","curator"
"456964","curator"
"456987","curator"
"457114","medicus"
"457114","medicus"
"457116","negotiator"
"457169","vexillarius"
"457234","tignuarius"
"457234","faber"
"457237","sagittarius"
"457237","sagittarius"
"457364","lapicida"
"457383","curator"
"457438","negotiator salarius"
"457442","negotiator"
"457445","negotiator"
"457447","negotiator"
"457457","negotiator salarius"
"457461","negotiator allecarius"
"457463","negotiator"
"457471","negotiator salarius"
"457475","negotiator"
"457478","nauta"
"457482","negotiator salarius"
"457491","negotiator"
"457495","negotiator"
"457517","negotiator allecarius"
"457687","negotiator"
"457704","medicus"
"457750","medicus"
"457836","seplasiarius"
"457838","cassidarius"
"457936","aerarius"
"457980","negotiator"
"457982","negotiator"
"458024","arenarius"
"458049","negotiator"
"458075","aerarius"
"458083","saccarius"
"458083","cuparius"
"458084","faber"
"458086","negotiator"
"458087","negotiator"
"458340","nummularius"
"458342","faber dolabrarius"
"458346","cervesarius"
"458357","metator"
"458467","negotiator cervesarius"
"458495","cretaria"
"458722","salinator"
"458801","faber ferrarius"
"458802","lapidarius"
"458814","nauta"
"459091","scriba"
"459092","aerarius"
"459094","retiarius"
"459095","quadratarius"
"459097","vestiarius"
"459099","pomarius"
"459099","pomarius"
"459099","pomarius"
"459099","curator"
"459099","curator"
"459210","parasitus"
"459302","lanius"
"459510","sagittarius"
"459682","intestinus"
"459694","scultor"
"459707","fabriciensis"
"459707","fabricensis"
"459722","lapidarius"
"459822","medicus"
"459873","venator"
"459948","architectus"
"459951","architectus"
"459983","argentarius"
"459992","argentarius"
"460068","argentarius"
"460074","argentarius"
"460075","argentarius"
"460077","argentarius"
"460078","argentarius"
"460470","conditor"
"460482","seplasiarius"
"460559","vexillarius"
"460561","architectus"
"461164","structor"
"461164","medicus"
"461168","scriba"
"461168","scriba"
"461168","scriba"
"461168","scriba"
"461170","curator"
"461171","cervesarius"
"461171","cervesarius"
"461171","iumentarius"
"461181","calcarius"
"461184","scutarius"
"461184","venator"
"461185","faber"
"461185","faber"
"461185","faber"
"461199","seplasiarius"
"461210","faber"
"461210","faber"
"461214","vexillarius"
"461214","vexillarius"
"461214","scutarius"
"461214","venator"
"461232","curator"
"461294","faber"
"461307","argentarius"
"461375","aerarius"
"461475","vexillarius"
"461659","argentarius"
"461679","aerarius"
"461787","argentarius"
"461788","argentarius"
"461789","argentarius"
"461790","argentarius"
"461918","ballistarius"
"461919","ballistarius"
"462070","curator"
"462179","curator"
"462250","argentarius"
"462251","argentarius"
"462252","argentarius"
"462631","medicus"
"462847","curator"
"462946","mensor"
"463163","artifex"
"463388","intestinus"
"463665","nauta"
"463687","argentarius"
"463695","negotiator"
"463830","gladiator"
"463831","gladiator"
"463831","faber"
"463839","medicus"
"463848","curator"
"463857","architectus"
"463882","faber"
"463930","curator"
"463944","dendrophorus"
"463974","faber"
"464117","curator"
"464152","scriba"
"464243","mensor"
"464251","curator"
"464257","curator"
"464264","factor"
"464401","exceptor"
"464533","faber"
"464542","faber"
"464564","pictor"
"464575","faber"
"464594","operarius"
"464602","faber"
"464610","faber"
"464627","negotiator"
"464630","aerarius"
"464631","aerarius"
"464641","faber"
"464642","faber"
"464680","armamentarius"
"464734","centonarius"
"464738","curator"
"464740","frumentarius"
"464749","agrimensor"
"464767","centonarius"
"464767","faber"
"464768","centonarius"
"464769","faber centonarius"
"464769","nauta"
"464770","faber"
"464772","faber"
"464776","dendrophorus"
"464776","faber"
"464779","mensor"
"464820","faber"
"464856","negotiator"
"464858","faber"
"464883","vexillarius"
"464888","scriptor"
"464888","faber"
"464889","faber"
"465211","sagittarius"
"465248","curator"
"465293","lapidarius"
"465298","utricularius"
"465354","curator"
"465354","curator"
"465354","curator"
"465354","curator"
"465354","curator"
"465354","curator"
"465441","sagittarius"
"465559","exceptor"
"465561","scriba"
"465588","lapidarius"
"465628","sagittarius"
"465631","sagittarius"
"465635","sagittarius"
"465635","vexillarius"
"465635","faber"
"465635","faber"
"465635","faber"
"465640","sagittarius"
"465655","medicus"
"465657","negotiator"
"465670","sagittarius"
"465686","frumentarius"
"465725","sagittarius"
"465726","sagittarius"
"465728","sagittarius"
"465731","sagittarius"
"465731","sagittarius"
"465753","curator"
"465770","faber"
"465818","curator"
"465844","sagittarius"
"465983","sagittarius"
"465990","sagittarius"
"466046","sagittarius"
"466046","sagittarius"
"466053","utricularius"
"466110","faber"
"466138","sagittarius"
"466138","sagittarius"
"466138","sagittarius"
"466138","sagittarius"
"466146","sagittarius"
"466155","sagittarius"
"466213","sagittarius"
"466214","sagittarius"
"466289","lapidarius"
"466324","sagittarius"
"466353","sagittarius"
"466426","legulus"
"466637","nummularius"
"466643","faber"
"466650","faber"
"466657","lecticarius"
"466674","curator"
"466675","curator"
"466676","curator"
"466677","curator"
"466693","frumentarius"
"466711","faber"
"466712","faber"
"466713","faber"
"466716","faber"
"466719","negotiator"
"466720","faber"
"466723","faber"
"466724","faber"
"466726","faber"
"466731","scriba"
"466778","vexillarius"
"466778","faber"
"466780","nummularius"
"466782","faber"
"466787","faber"
"466789","arcarius"
"466791","scriba"
"466792","negotiator"
"466844","scriba"
"466883","scriba"
"466887","faber"
"466892","faber"
"466907","faber"
"466914","faber"
"466915","faber"
"466923","faber"
"466923","faber"
"466944","faber"
"466949","faber"
"466950","faber"
"466967","faber"
"466980","faber"
"467012","curator"
"467013","curator"
"467018","frumentarius"
"467019","faber"
"467020","faber"
"467025","faber"
"467029","conditor"
"467052","faber"
"467099","faber"
"467128","faber"
"467136","faber"
"467145","faber"
"467146","faber"
"467147","faber"
"467153","faber"
"467255","frumentarius"
"467255","mensor"
"467256","faber"
"467486","mensor"
"467496","scriba"
"467508","armamentarius"
"467596","curator"
"467601","sagittarius"
"467623","lapidarius"
"467721","sagittarius"
"467744","sagittarius"
"467744","sagittarius"
"467767","aurarius"
"467785","legulus"
"468058","centonarius"
"468058","faber"
"468294","curator"
"468355","aerarius"
"468356","curator"
"468639","faber"
"468640","faber"
"468655","scriba"
"468713","faber"
"468775","vexillarius"
"468832","aerarius"
"468933","vexillarius"
"468934","vexillarius"
"469058","vexillarius"
"469128","frumentarius"
"469209","cornicen"
"469244","arcarius"
"469342","negotiator cretarius"
"469371","fontanus"
"469386","faber"
"469649","scriba"
"470136","curator"
"470405","seplasiarius"
"470537","faber"
"470568","olarius"
"470738","negotiator lanarius"
"470886","arcarius"
"470911","frumentarius"
"470912","faber"
"470927","arcarius"
"470937","negotians"
"470943","vexillarius"
"470949","faber"
"470950","scriba"
"470957","curator"
"470957","faber"
"470957","faber"
"470957","faber"
"470957","faber"
"470974","fabricensis"
"470994","frumentarius"
"471005","faber"
"471016","negotiator"
"471037","centonarius"
"471037","faber"
"471042","ceriolarius"
"471044","conquiliarius"
"471045","ornatrix"
"471051","scriba"
"471053","mensor"
"471054","negotiator"
"471056","retiarius"
"471058","mensor"
"471059","mensor"
"471061","negotiator vinarius"
"471279","calegarius"
"471597","vexillarius"
"471638","venator"
"471692","frumentarius"
"471699","sagittarius"
"471702","faber"
"471718","spatharius"
"471721","vexillarius"
"471744","faber"
"471767","centonarius"
"471767","faber"
"471773","faber"
"471778","faber"
"471782","centonarius"
"471790","faber"
"471793","lapidarius"
"471794","tignarius"
"471794","faber"
"471797","retiarius"
"472424","curator"
"472439","corarius"
"472454","vitriarius"
"472520","sartur"
"472635","negotians materiarius"
"472636","retiarius"
"472637","cretaria"
"472825","calegarius"
"472928","faber"
"473029","calegarius"
"473086","sagittarius"
"473096","faber"
"473097","faber"
"473107","medicus"
"473307","negotiator"
"473338","sagittarius"
"473350","exceptor"
"473350","curator"
"473368","curator"
"473368","curator"
"473368","curator"
"473369","centonarius"
"473369","faber"
"473478","centonarius"
"473478","faber"
"473484","centonarius"
"473484","faber"
"473728","retiarius"
"473773","pistur"
"473991","exceptor"
"473999","curator"
"474003","faber"
"474439","vexillarius"
"474439","curator"
"474480","faber"
"474733","negotiator"
"474735","lapidarius"
"474800","scaenicus"
"474808","lapidarius"
"474859","faber"
"474996","curator"
"475002","faber"
"475036","conditor"
"475216","negotiator olearius"
"475377","saccarius"
"475378","saccarius"
"475393","frumentarius"
"475416","scutarius"
"475428","curator"
"475437","curator"
"475439","centonarius"
"475439","faber"
"475445","curator"
"475446","medicus"
"475517","curator"
"475522","medicus"
"475523","medicus"
"475542","curator"
"475542","curator"
"475557","curator"
"475599","negotians"
"475613","scriba"
"475614","parasitus"
"475614","parasitus"
"475640","curator"
"475650","medicus"
"475701","curator"
"475702","curator"
"475703","curator"
"475704","curator"
"475730","piscator"
"475732","curator"
"475735","aerarius"
"475735","scriba"
"475737","aeneator"
"475742","curator"
"475754","curator"
"475760","gladiator"
"475760","gladiator"
"475795","medicus"
"475797","centonarius"
"475797","faber"
"475805","aerarius"
"475836","negotiator"
"475854","sagittarius"
"475854","faber"
"475921","faber tignarius"
"475958","curator"
"475963","scriba"
"475965","sagittarius"
"475965","faber"
"475982","negotians"
"475982","vinarius"
"475982","curator"
"475991","medicus"
"476039","marmorarius"
"476091","curator"
"476148","curator"
"476206","curator"
"476207","aerarius"
"476207","curator"
"476211","faber"
"476228","scriba"
"476228","scriba"
"476228","scriba"
"476229","scriba"
"476348","sagittarius"
"476353","sagittarius"
"476353","sagittarius"
"476386","gladiator"
"476390","curator"
"476392","faber"
"476394","curator"
"476410","faber"
"476411","faber"
"476445","gladiator"
"476450","faber"
"476451","faber"
"476453","aerarius"
"476453","curator"
"476454","faber"
"476459","curator"
"476459","curator"
"476469","curator"
"476484","dendrophorus"
"476493","possessor"
"476496","dendrophorus"
"476496","dendrophorus"
"476496","dendrophorus"
"476496","centonarius"
"476496","centonarius"
"476496","utriclarius"
"476496","utriclarius"
"476496","faber"
"476506","centonarius"
"476514","cellarius"
"476572","marmorarius"
"476584","faber"
"476585","curator"
"476588","faber"
"476589","faber"
"476599","gladiator"
"476607","curator"
"476608","athleta"
"476609","navicularius"
"476610","forensis"
"476614","canalicularius"
"476614","frumentarius"
"476616","marmorarius"
"476655","faber"
"476745","molitor"
"476824","faber"
"476826","plumbarius"
"476880","aurifex"
"476888","aerarius"
"476889","aerarius"
"476898","aerarius"
"476898","faber"
"476903","sagarius"
"476910","nauta"
"476960","curator"
"477006","utriclarius"
"477006","faber"
"477028","tibicinus"
"477097","unguentarius"
"477141","faber"
"477211","argentarius"
"477227","ocularius"
"477227","medicus"
"477262","faber"
"477268","gypsarius"
"477270","copo"
"477274","navicularius"
"477276","pistor"
"477279","mercator"
"477281","retiarius"
"477281","retiarius"
"477284","nummularius"
"477339","faber"
"477346","lanius"
"477359","negotiator vinarius"
"477359","curator"
"477360","negotiator vinarius"
"477360","curator"
"477362","medicus"
"477491","faber"
"477492","faber"
"477509","faber"
"477516","scriba"
"477528","aerarius"
"477534","faber tignarius"
"477606","faber"
"477655","faber"
"477734","faber"
"477800","faber"
"477919","negotiator frumentarius"
"478015","vexillarius"
"478063","medicus"
"478066","negotiator"
"478179","architectus"
"478200","argentarius"
"478201","negotiator vinarius"
"478304","architectus"
"478352","cretarius"
"478427","curator"
"478451","negotiator cretarius"
"478646","medicus"
"478647","calcarius"
"478649","architectus"
"478649","calcarius"
"478658","calcarius"
"478702","gladiator"
"478767","negotiator"
"478767","moritex"
"478786","focarius"
"478787","hastifer"
"478826","negotiator"
"478883","frumentarius"
"478888","pequarius"
"478924","scriba"
"478939","negotiator"
"478945","faber tignarius"
"478950","medicus"
"478951","negotiator cretarius"
"478952","negotiator"
"478952","lanius"
"478953","negotiator"
"478954","negotiator nummularius"
"478955","negotiator seplasiario"
"479089","uctor"
"479427","argentarius"
"479427","coactor"
"479429","faber"
"479430","negotiator"
"479430","lignarius"
"479431","nummularius"
"479442","essedarius"
"479442","essedarius"
"479482","negotiator"
"479500","armamentarius"
"479521","negotiator"
"479521","vinarius"
"479628","negotiator"
"479656","curator"
"480192","cornicen"
"480244","negotiator frumentarius"
"480247","figulus"
"480292","frumentarius"
"480297","faber tignarius"
"480301","sutor"
"480616","frumentarius"
"480703","cornicen"
"480719","armamentarius"
"480721","vexillarius"
"480743","negotiator vestiarius"
"480825","medicus"
"480836","nauta"
"480874","sutor"
"481020","medicus"
"481119","pictor"
"481221","arcarius"
"481228","fullo"
"481249","dendrophorus"
"481250","faber tignuarius"
"481250","aurifex"
"481322","negotiator"
"481335","medicus"
"481350","curator"
"481351","faber"
"481352","nauta"
"481400","curator"
"481400","curator"
"481401","curator"
"481402","curator"
"481408","professor"
"481408","medicus"
"481418","aerarius"
"481424","nauta"
"481474","nauta"
"481487","lapidarius"
"481552","faber"
"481573","aerarius"
"481575","materiarius"
"481575","offector"
"481575","lanius"
"481647","tignarius"
"481652","faber tignarius"
"481676","medicus"
"481775","argentarius"
"481792","medicus"
"481982","nauta"
"482052","negotiator"
"482052","lanius"
"482065","medicus"
"482210","negotiator"
"482221","faber tignarius"
"482228","aerarius"
"482254","dendrophorus"
"482295","architectus"
"482323","vexillarius"
"482739","curator"
"482739","curator"
"482746","curator"
"482747","nauta"
"482749","nauta"
"482750","nauta"
"482777","negotiator"
"482817","mensor"
"482906","tector"
"482977","vexillarius"
"482985","curator"
"482986","negotiator gladiarius"
"482990","architectus"
"483012","medicus"
"483017","frumentarius"
"483058","negotiator"
"483072","curator"
"483084","seplasiarius"
"483098","manticularius"
"483098","negotiator"
"483114","faber"
"483253","mensor"
"483311","faber"
"483312","nauta"
"483312","nauta"
"483313","negotiator"
"483315","pecuarius"
"483320","pecuarius"
"483336","medicus"
"483359","anularius"
"483361","hastifer"
"483382","manticularius"
"483388","negotiator"
"483406","scholasticus"
"483421","naupegus"
"483436","scriptor"
"483440","plumarius"
"483489","gladiator"
"483517","arcarius"
"483524","pausarius"
"483525","pausarius"
"483526","pausarius"
"483542","curator"
"483547","curator"
"483587","hastifer"
"483587","curator"
"483597","negotiator"
"483622","faber"
"483627","faber"
"483642","nauta"
"483645","negotiator"
"483703","plumbarius"
"483790","textor"
"483802","vexillarius"
"483802","vexillarius"
"483803","vexillarius"
"483823","capsarius"
"483823","medicus"
"483869","faber"
